AppID,Name,Release date,release_year,studio_name,studio_city,studio_state,studio_state_full,studio_type,studio_tags,Price,owners_estimate,Peak CCU,Positive,Negative,total_reviews,review_pct_positive,Metacritic score,Recommendations,Average playtime forever,Median playtime forever,Windows,Mac,Linux,Genres,Categories,Tags,Supported languages,Developers,Publishers
2933620,Call of Duty®: Black Ops 6,2024-11-01,2024,Sledgehammer Games,Melbourne,VIC,Victoria,Studio,,34.99,10000.0,0,6383,7422,13805,46.2,,13117,0,0,True,False,False,Action,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,In-App Purchases","Action,Multiplayer,Shooter,FPS,Singleplayer,First-Person,Capitalism,Military,PvP,War,Artificial Intelligence,Violent,Gore,Co-op,Story Rich,PvE,Realistic,Online Co-Op,Open World,Romance","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Russian', 'Traditional Chinese', 'Japanese', 'Spanish - Latin America', 'Arabic', 'Simplified Chinese', 'Portuguese - Brazil']","Treyarch,Raven Software,Beenox,High Moon Studios,Activision Shanghai,Sledgehammer Games,Infinity Ward,Demonware",Activision
465090,Don Bradman Cricket 17 Demo,2016-05-26,2016,Big Ant Studios,Melbourne,VIC,Victoria,Studio,Console|PC,0.0,10000.0,1,3,2,5,60.0,,0,0,0,True,False,False,"Simulation,Sports","Single-player,Full controller support","Simulation,Sports,Cricket",['English'],Big Ant Studios,Big Ant Studios
2745870,Warfare Legacy Collection,2025-04-28,2025,Con Artist Games,Melbourne,VIC,Victoria,Studio,,7.99,35000.0,19,397,37,434,91.5,,785,66,93,True,True,True,"Action,Simulation,Strategy","Single-player,Steam Achievements,Color Alternatives,Adjustable Difficulty,Mouse Only Option,Playable without Timed Input,Steam Cloud,Family Sharing","Strategy,World War I,Side Scroller,Action,Tactical,World War II,Military,Remake,Retro,2D,Historical,War,Singleplayer,Casual,Replay Value,Short,Real Time Tactics,Top-Down,Linear,Tower Defense","['English', 'German', 'Japanese', 'Russian', 'Simplified Chinese', 'French', 'Spanish - Spain']",Con Artist Games,Armor Games Studios
3874050,Duck Life 4 Classic,2025-09-17,2025,Wix Games,Brighton,VIC,Victoria,Studio,Indie,2.99,10000.0,0,0,0,0,,,0,0,0,True,True,False,"Casual,Indie,Racing,Sports","Single-player,Steam Achievements,Custom Volume Controls,Playable without Timed Input,Save Anytime,Steam Cloud,Family Sharing",,['English'],Wix Games,MAD.com
1017900,Age of Empires: Definitive Edition,2019-08-19,2019,Tantalus Media,Melbourne,VIC,Victoria,Studio,PC,4.99,750000.0,559,11700,2240,13940,83.9,69,13574,588,218,True,False,False,Strategy,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Cloud,Includes level editor,Family Sharing","Strategy,RTS,Multiplayer,Base-Building,Singleplayer,City Builder,Historical,Classic,Remake,Medieval,Story Rich,Real-Time,Co-op,Great Soundtrack,Action,War,Isometric,Retro,Atmospheric,Adventure","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Vietnamese']","World's Edge,Forgotten Empires,Tantalus",Xbox Game Studios
1660840,Wild Bastards,2024-09-12,2024,Blue Manchu,Canberra,ACT,Australian Capital Territory,Studio,Indie,6.99,10000.0,6,416,126,542,76.8,,521,54,73,True,False,False,"Action,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Family Sharing","Action Roguelike,Strategy,Shooter,Rogue-lite,First-Person,Western,Sci-fi,Rogue-like,FPS,Action,Comic Book,Crafting,Turn-Based Strategy,Stealth,Hand-drawn,Singleplayer,Hero Shooter,Controller,2D,3D","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese']",Blue Manchu,Maximum Entertainment
702810,Shooty Skies,2018-03-06,2018,Mighty Games,Melbourne,VIC,Victoria,Studio,Mobile|Console,0.0,350000.0,1,1308,118,1426,91.7,,0,71,42,True,True,True,"Action,Free To Play,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Steam Cloud,Stats,Steam Leaderboards","Free to Play,Action,Indie,Funny,Shoot 'Em Up,Colorful,Arcade,Singleplayer,Voxel,Fast-Paced,Cute,Pixel Graphics,Retro,Casual,Bullet Hell,Shooter,Multiplayer,Great Soundtrack,Family Friendly,Dragons","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Dutch', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Traditional Chinese']",Mighty Games,Mighty Games
327950,Sword of the Samurai,2014-10-17,2014,MicroProse,,,,Publisher,,4.89,10000.0,1,137,14,151,90.7,,131,83,83,True,True,True,"Adventure,Simulation","Single-player,Family Sharing","Adventure,Simulation,Classic,Retro,Historical,Strategy,Pixel Graphics,1980s",['English'],MicroProse Software,MicroProse Software
270490,The Forest of Doom (Standalone),2014-10-30,2014,Tin Man Games,Melbourne,VIC,Victoria,Studio,,0.99,35000.0,0,238,57,295,80.7,,168,194,258,True,True,True,"Adventure,Indie,RPG","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing","RPG,Adventure,Choose Your Own Adventure,Based On A Novel,Visual Novel,Indie,Singleplayer,Fantasy","['English', 'Spanish - Spain', 'French']",Tin Man Games,Tin Man Games
545040,Feather,2019-04-05,2019,Samurai Punk,Melbourne,VIC,Victoria,Other,Indie|PC,1.99,10000.0,0,627,143,770,81.4,,477,27,37,True,True,False,"Adventure,Casual,Indie,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Steam Cloud,Family Sharing","Exploration,Flight,Sandbox,Nature,Third Person,Relaxing,Open World,Casual,Simulation,Stylized,Atmospheric,Adventure,Co-op,Multiplayer,Online Co-Op,Singleplayer,Music,Indie,Experience,Walking Simulator","['English', 'French', 'Italian', 'German', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Dutch', 'Spanish - Latin America', 'Japanese']",Samurai Punk,Samurai Punk
